Frame,Tracker,Rmse
0,Fuse,13.152946437965905
0,CSRT,13.341664064126334
0,KCF,13.341664064126334
0,MIL,13.341664064126334
0,BOOSTING,13.341664064126334
0,MEDIANFLOW,13.341664064126334
0,MOSSE,13.341664064126334
1,Fuse,13.152946437965905
1,CSRT,13.24764129949177
1,KCF,13.24764129949177
1,MIL,13.24764129949177
1,BOOSTING,13.24764129949177
1,MEDIANFLOW,13.24764129949177
1,MOSSE,13.24764129949177
2,Fuse,11.832159566199232
2,CSRT,11.718930554164631
2,KCF,11.718930554164631
2,MIL,12.26104943849968
2,BOOSTING,12.220201853215574
2,MEDIANFLOW,11.775681155103795
2,MOSSE,11.986103064243467
3,Fuse,13.009611831257688
3,CSRT,11.800423721205947
3,KCF,11.090536506409418
3,MIL,13.294735800308331
3,BOOSTING,15.700318468107582
3,MEDIANFLOW,13.425721582097552
3,MOSSE,14.150971698084906
4,Fuse,15.297058540778355
4,CSRT,14.092551223962253
4,KCF,11.20714058089752
4,MIL,15.824032355881986
4,BOOSTING,19.3700800204852
4,MEDIANFLOW,13.425721582097552
4,MOSSE,17.69745744450315
5,Fuse,16.603212540549695
5,CSRT,15.481171359644161
5,KCF,11.640446726822816
5,MIL,17.009801096230763
5,BOOSTING,22.86554904946158
5,MEDIANFLOW,14.771594362153328
5,MOSSE,19.828430766620606
6,Fuse,17.129756899284107
6,CSRT,16.401219466856727
6,KCF,11.457997830586034
6,MIL,17.812515664153512
6,BOOSTING,23.98511443136585
6,MEDIANFLOW,15.215124054702938
6,MOSSE,21.243486396674964
7,Fuse,16.684573713463585
7,CSRT,15.953056133543816
7,KCF,10.948744220229095
7,MIL,17.716517716526575
7,BOOSTING,23.53720459187964
7,MEDIANFLOW,14.68721504282843
7,MOSSE,21.44469631400734
8,Fuse,15.790292376436016
8,CSRT,15.30795000427338
8,KCF,11.31861789756643
8,MIL,16.786237749352228
8,BOOSTING,22.531459488161584
8,MEDIANFLOW,13.756816492197604
8,MOSSE,20.612833111653742
9,Fuse,15.152557539900648
9,CSRT,14.771594362153328
9,KCF,12.942179105544785
9,MIL,15.987495113369073
9,BOOSTING,21.718655575334306
9,MEDIANFLOW,13.21615173439934
9,MOSSE,19.72815247305231
10,Fuse,14.603860012774954
10,CSRT,14.32099539455652
10,KCF,14.684562085277301
10,MIL,15.391851445134563
10,BOOSTING,20.893670202849822
10,MEDIANFLOW,12.856904759700136
10,MOSSE,18.870371196426134
11,Fuse,14.502873278538061
11,CSRT,14.39907404430345
11,KCF,16.56804152578089
11,MIL,15.29160989998546
11,BOOSTING,20.244340772999582
11,MEDIANFLOW,12.996503026164035
11,MOSSE,18.236867421060374
12,Fuse,13.93942941112341
12,CSRT,13.84807678954846
12,KCF,16.85686347319234
12,MIL,14.743968779966112
12,BOOSTING,19.71723182318529
12,MEDIANFLOW,12.449899597988733
