Frame,Tracker,Rmse
0,Fuse,13.152946437965905
0,CSRT,16.1245154965971
0,KCF,13.341664064126334
0,MIL,17.11724276862369
0,BOOSTING,15.132745950421556
0,MEDIANFLOW,19.026297590440446
0,MOSSE,17.029386365926403
1,Fuse,13.152946437965905
1,CSRT,17.635192088548397
1,KCF,14.747881203752625
1,MIL,19.170289512680814
1,BOOSTING,19.58315602756614
1,MEDIANFLOW,20.676073128135332
1,MOSSE,19.87460691435179
2,Fuse,11.832159566199232
2,CSRT,15.513435037626794
2,KCF,12.741009902410928
2,MIL,18.257418583505537
2,BOOSTING,19.148542155126762
2,MEDIANFLOW,18.284784202536635
2,MOSSE,19.0
3,Fuse,13.009611831257688
3,CSRT,14.958275301651591
3,KCF,12.083045973594572
3,MIL,17.979154596365202
3,BOOSTING,21.79449471770337
3,MEDIANFLOW,18.96707673839066
3,MOSSE,19.949937343260004
4,Fuse,15.297058540778355
4,CSRT,15.949921629901509
4,KCF,11.949895397031725
4,MIL,18.422811946062957
4,BOOSTING,22.11334438749598
4,MEDIANFLOW,18.96707673839066
4,MOSSE,20.639767440550294
5,Fuse,16.60823089113748
5,CSRT,16.005207485898666
5,KCF,12.30176139149729
5,MIL,18.15672510852843
5,BOOSTING,23.202011407059807
5,MEDIANFLOW,18.63866948041088
5,MOSSE,20.716338157760088
6,Fuse,17.30813186255029
6,CSRT,15.806870115780127
6,KCF,12.147898113312795
6,MIL,18.00793475903648
6,BOOSTING,22.532516186930515
6,MEDIANFLOW,18.63866948041088
6,MOSSE,20.629382651243553
7,Fuse,16.863421954040053
7,CSRT,14.908051515875574
7,KCF,11.932099563781724
7,MIL,17.320508075688775
7,BOOSTING,21.39801392653066
7,MEDIANFLOW,18.63866948041088
7,MOSSE,19.924858845171276
8,Fuse,16.0
8,CSRT,14.169607537888188
8,KCF,12.948616399703354
8,MIL,16.36391694484477
8,BOOSTING,20.275875100994064
8,MEDIANFLOW,18.63866948041088
8,MOSSE,18.823743871327334
9,Fuse,15.349267083479914
9,CSRT,13.841965178398622
9,KCF,15.261061562027722
9,MIL,15.846135175493108
9,BOOSTING,19.52690451658941
9,MEDIANFLOW,18.63866948041088
9,MOSSE,17.97220075561143
10,Fuse,14.758664635331403
10,CSRT,13.859686471594843
10,KCF,17.357209662636656
10,MIL,15.611767123784313
10,BOOSTING,18.662066532748383
10,MEDIANFLOW,18.63866948041088
10,MOSSE,17.241598744685113
11,Fuse,14.64581851587681
11,CSRT,14.497126151988423
11,KCF,19.371370627810517
11,MIL,16.02602050832749
11,BOOSTING,18.463928798245153
11,MEDIANFLOW,18.63866948041088
11,MOSSE,16.849826903166296
12,Fuse,14.071247279470288
12,CSRT,14.073980356563066
12,KCF,19.88428061018591
12,MIL,15.637725587132598
12,BOOSTING,17.813132579860632
12,MEDIANFLOW,17.01959654829299
12,MOSSE,16.19829050809422
13,Fuse,13.572556344119029
13,CSRT,13.572556344119029
13,KCF,20.389072703639215
13,MIL,15.362291495737216
13,BOOSTING,17.200498331651406
13,MEDIANFLOW,15.766148184367308
13,MOSSE,15.613638726629814
14,Fuse,13.379088160259652
14,CSRT,13.366625103842281
14,KCF,21.224200024186228
14,MIL,15.35795125225584
14,BOOSTING,16.717256553234645
14,MEDIANFLOW,15.256146302392358
14,MOSSE,15.297058540778355
15,Fuse,13.20747894187229
15,CSRT,13.24056267686536
15,KCF,21.734189655931505
15,MIL,15.295015527942429
15,BOOSTING,16.24807680927192
15,MEDIANFLOW,14.847371634213392
15,MOSSE,15.033296378372908
16,Fuse,13.042915588886695
16,CSRT,13.031635715126658
16,KCF,22.30536733086245
16,MIL,15.291289331242304
16,BOOSTING,15.764815627361644
16,MEDIANFLOW,14.512063946937388
16,MOSSE,14.786719001304158
